,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
54,COVIDhub:baseline,2020-05-25,12,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[67648.7750542506, 110381.688421884, 137461.68412184098, 154792.0, 172140.075350754, 199985.916680167, 241765.138744637]",146547.0,2.0,-7.339946565991986,0.9499999998454308,0.95,1.6103683009985326e-05,241765.138744637,67648.7750542506,154792.0,39.2508571809872
55,COVIDhub:baseline,2020-05-25,26,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[43751.9394373943, 83759.2992539925, 124952.72283972801, 154792.0, 184846.232569826, 225755.801541015, 265161.40401954]",180575.0,4.0,-8.863266709430103,0.9499979405011336,0.95,6.773296720469224e-06,265161.40401954,43751.9394373943,154792.0,84.0686187049165
56,COVIDhub:baseline,2020-05-25,5,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[77550.375, 134608.3, 144768.25, 154792.0, 164815.75, 174975.7, 232033.625]",147204.0,1.0,-6.568430017758836,0.9499999999585315,0.95,2.3631242858937473e-05,232033.625,77550.375,154792.0,26.688026226392736
57,COVIDhub:baseline,2020-05-25,33,2020-06-27,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[30731.8664421644, 75798.1938599386, 119150.911374114, 154792.0, 190384.141146411, 233032.26792467898, 277343.63397784]",254712.0,5.0,-11.178808365361082,0.9499984812845186,0.95,1.7918049343423892e-06,277343.63397784,30731.8664421644,154792.0,267.5761457077908
58,COVIDhub:baseline,2020-05-25,19,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[55761.458355333605, 93401.96861268609, 132885.846373464, 154792.0, 177162.385498855, 216183.24344643397, 252981.297370224]",147383.0,3.0,-7.728615539589378,0.9499977020052534,0.95,1.3221830577350713e-05,252981.297370224,55761.458355333605,154792.0,47.67026221327227
59,COVIDhub:baseline,2020-06-01,5,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[71210.625, 127689.9, 139573.75, 147553.0, 155532.25, 167416.1, 223895.375]",146547.0,1.0,-5.848041803903722,0.9499999999527525,0.95,3.395378669719673e-05,223895.375,71210.625,147553.0,18.61599024432257
60,COVIDhub:baseline,2020-06-01,19,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[50797.335889358896, 87676.6732457325, 125912.150076501, 147553.0, 168947.982089821, 207340.753127531, 245016.510905109]",180575.0,3.0,-9.694334207021988,0.9499978846517837,0.95,4.470294006769793e-06,245016.510905109,50797.335889358896,147553.0,127.37902663808205
61,COVIDhub:baseline,2020-06-01,26,2020-06-27,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[39423.5943614436, 78745.0096330963, 119405.967532175, 147553.0, 175487.34402844, 217014.078669787, 255361.67608526102]",254712.0,4.0,-11.98912255526303,0.9499977433462867,0.95,1.1949046125614426e-06,255361.67608526102,39423.5943614436,147553.0,401.24061213872335
62,COVIDhub:baseline,2020-06-01,12,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[61174.8549200492, 105405.212252123, 130727.896206462, 147553.0, 164310.02228272302, 189507.26065160602, 233570.71356313603]",147383.0,2.0,-7.474938292058327,0.9499999998685638,0.95,1.500986901215029e-05,233570.71356313603,61174.8549200492,147553.0,41.991581009238615
63,COVIDhub:baseline,2020-06-08,5,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[74452.875, 130353.5, 142410.25, 149896.0, 157381.75, 169438.5, 225339.125]",147383.0,1.0,-5.6034999837735855,0.9499999999509958,0.95,3.826084590091705e-05,225339.125,74452.875,149896.0,16.47344996485459
64,COVIDhub:baseline,2020-06-08,12,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[64733.4726432264, 110972.80205902099, 133638.904074041, 149896.0, 166277.68503685, 189076.32829928302, 234840.791447414]",180575.0,2.0,-9.128082393247567,0.9499999998854112,0.95,5.933297247184832e-06,234840.791447414,64733.4726432264,149896.0,95.97053301830809
65,COVIDhub:baseline,2020-06-15,5,2020-06-20,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[73340.925, 128940.8, 141278.5, 147988.0, 154697.5, 167035.2, 222635.075]",180575.0,1.0,-11.21757520757917,0.9499999999495861,0.95,2.087221341040557e-06,222635.075,73340.925,147988.0,272.813279632581
66,COVIDhub:baseline,2020-06-29,47,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[96108.8113366133, 155535.08323083198, 204109.280750307, 254854.0, 305493.298687987, 353250.71225912205, 412651.09077490796]",362756.0,7.0,-10.857171008856088,0.9499995390271284,0.95,1.763399825771561e-06,412651.09077490796,96108.8113366133,254854.0,227.82675745927517
67,COVIDhub:baseline,2020-06-29,54,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[87023.6749384994, 148423.586592866, 199977.24200492, 254854.0, 309176.760660107, 360735.356908569, 422450.30606806104]",305813.0,8.0,-9.488606143435195,0.9499994096154407,0.95,3.8072395977806206e-06,422450.30606806104,87023.6749384994,254854.0,114.92768123443479
68,COVIDhub:baseline,2020-06-29,40,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[106853.374928249, 162583.737556376, 208741.380791308, 254854.0, 301143.99692496896, 346340.391184912, 401538.407134071]",376728.0,6.0,-11.2941886797102,0.9499994262347317,0.95,1.3907432613036175e-06,401538.407134071,106853.374928249,254854.0,283.4666103972552
69,LANL:GrowthRate,2020-07-03,15,2020-07-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[104593.59023875801, 160360.880004978, 224530.439370801, 311021.842637469, 412816.74381559994, 495608.244782111, 653208.649786346]",465233.0,3.0,-10.579045693239667,0.9499995583361681,0.95,1.7894393544160003e-06,653208.649786346,104593.59023875801,311021.842637469,198.24880774887677
70,LANL:GrowthRate,2020-07-03,50,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[10835.2003796327, 22791.0812296671, 41046.0677334083, 75799.8618879579, 141735.859314279, 248256.75979195602, 487982.885414579]",305813.0,8.0,-13.711221796799048,0.9499972481342446,0.95,4.609787118969866e-07,487982.885414579,10835.2003796327,75799.8618879579,949.1918120822647
