,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
2092,JHU_IDD:CovidSP,2020-10-18,20,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[232056.5, 252550.6, 281703.25, 316237.5, 351579.5, 392392.1, 440136.0]",766435.0,3.0,True,,0.9499978225452966,0.95,0.0,440136.0,232056.5,316237.5,
2093,QJHong:Encounter,2020-10-18,27,2020-11-14,"[0.1, 0.9]","[500070.7, 631380.4]",1018002.0,4.0,False,,0.7999878149993257,0.8,0.0,631380.4,500070.7,565725.55,
2094,JHU_IDD:CovidSP,2020-10-18,27,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[247528.0, 274890.0, 310052.75, 348030.0, 388223.75, 436188.3, 498091.4]",1018002.0,4.0,True,,0.9499987648277015,0.95,0.0,498091.4,247528.0,348030.0,
2095,RobertWalraven:ESG,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[429501.16, 430874.2, 432103.42, 433467.5, 434831.57, 436060.79, 437433.83]",560618.0,2.0,True,,0.9499618165821202,0.95,0.0,437433.83,429501.16,433467.5,
2096,DDS:NBDS,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[229708.0, 294814.0, 374810.0, 495029.0, 676107.0, 904112.0, 1269954.0]",1018002.0,4.0,True,-13.51616668588871,0.9499995862433596,0.95,2.7854168929697387e-07,1269954.0,229708.0,495029.0,860.9903900164442
2097,RobertWalraven:ESG,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[412495.23, 413836.35, 415036.99, 416369.35, 417701.71, 418902.35, 420243.46]",766435.0,3.0,True,,0.9499609178868813,0.95,0.0,420243.46,412495.23,416369.35,
2098,UMich:RidgeTfReg,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[413020.278395507, 416276.667417495, 418685.76097024797, 421319.074961545, 424122.57407946297, 426713.924551276]",1018002.0,4.0,False,,0.8749354305355139,0.875,0.0,426713.924551276,413020.278395507,420002.4179658965,
2099,UMich:RidgeTfReg,2020-10-19,19,2020-11-07,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[428815.37551935, 432211.419072146, 434602.74783993297, 437074.608085629, 439761.450700078, 442278.482844591]",766435.0,3.0,False,,0.8749348827577644,0.875,0.0,442278.482844591,428815.37551935,435838.677962781,
2100,JHUAPL:Bucky,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[312392.382258341, 332972.369511065, 349916.684159795, 370099.727492657, 388736.77846189897, 404866.55790153705, 423237.398868653]",479514.0,1.0,True,,0.9499976478349208,0.95,0.0,423237.398868653,312392.382258341,370099.727492657,
2101,JHUAPL:Bucky,2020-10-19,33,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[287618.931614385, 344761.231564308, 399984.252152686, 464596.57371335296, 532412.430524025, 600424.537931424, 677122.30068492]",1186501.0,5.0,True,,0.9499992097668909,0.95,0.0,677122.30068492,287618.931614385,464596.57371335296,
2102,COVIDhub:baseline,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[240265.07593250897, 293388.772531725, 337706.1000135, 388452.0, 439182.988929889, 483304.511391114, 535871.350387254]",1018002.0,4.0,True,,0.9499993005605661,0.95,0.0,535871.350387254,240265.07593250897,388452.0,
2103,COVIDhub:ensemble,2020-10-19,26,2020-11-14,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[240265.0, 330560.0, 352398.0, 388452.0, 420105.0, 452157.0, 498092.0]",1018002.0,4.0,True,,0.9499999998801185,0.95,0.0,498092.0,240265.0,388452.0,
2104,CovidAnalytics:DELPHI,2020-10-19,33,2020-11-21,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 0.0, 3265.0147436889197, 127805.0, 252344.98525631102, 364434.856912915, 489699.136518099]",1186501.0,5.0,True,,0.9277404972306641,0.95,0.0,489699.136518099,0.0,127805.0,
2105,CovidAnalytics:DELPHI,2020-10-19,12,2020-10-31,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 27986.137951089502, 98877.9973652536, 177644.0, 256410.00263474602, 327301.862048911, 406525.94865142205]",560618.0,2.0,True,,0.9499980857581538,0.95,0.0,406525.94865142205,0.0,177644.0,
2106,DDS:NBDS,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[301453.0, 330557.0, 360617.0, 398081.0, 442883.0, 490497.0, 570983.0]",479514.0,1.0,True,-9.88540543857394,0.9499993049837245,0.95,2.493294979116767e-06,570983.0,301453.0,398081.0,140.14852025872744
2107,UMich:RidgeTfReg,2020-10-19,5,2020-10-24,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[408009.41117751604, 411328.08208720206, 413851.451819362, 416531.186367568, 419477.458255215, 422217.376771916]",479514.0,1.0,False,,0.8749388063310479,0.875,0.0,422217.376771916,408009.41117751604,415191.319093465,
